pair_index,frame_a,frame_b,time_a_s,time_b_s,normalized_interframe_mad,normalized_interframe_rmse,normalized_frame_correlation,phase_dx_original_px,phase_dy_original_px,phase_shift_magnitude_original_px,phase_response,pair_saturated_fraction_ge250_mean,pair_saturated_fraction_ge250_max,pair_dark_fraction_le5_mean,pair_dark_fraction_le5_max,pair_normalized_laplacian_variance_mean,pair_normalized_laplacian_variance_max,pair_normalized_tenengrad_mean,pair_normalized_tenengrad_max,pair_particle_like_blob_density_proxy_mean,pair_particle_like_blob_density_proxy_max,pair_particle_like_area_fraction_proxy_mean,pair_particle_like_area_fraction_proxy_max,pair_large_bright_component_area_fraction_proxy_mean,pair_large_bright_component_area_fraction_proxy_max,pair_optical_dark_region_fraction_proxy_mean,pair_optical_dark_region_fraction_proxy_max,pair_optical_dark_region_cx_proxy_mean,pair_optical_dark_region_cx_proxy_jump,pair_optical_dark_region_cy_proxy_mean,pair_optical_dark_region_cy_proxy_jump
10,10,11,0.6250053839298976,0.6875059223228873,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
11,11,12,0.6875059223228873,0.7500064607158771,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
12,12,13,0.7500064607158771,0.8125069991088668,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
13,13,14,0.8125069991088668,0.8750075375018566,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
14,14,15,0.8750075375018566,0.9375080758948463,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
15,15,16,0.9375080758948463,1.0000086142878362,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
16,16,17,1.0000086142878362,1.062509152680826,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
17,17,18,1.062509152680826,1.1250096910738157,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
18,18,19,1.1250096910738157,1.1875102294668054,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
19,19,20,1.1875102294668054,1.2500107678597951,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
20,20,21,1.2500107678597951,1.312511306252785,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
21,21,22,1.312511306252785,1.3750118446457746,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
22,22,23,1.3750118446457746,1.4375123830387644,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
23,23,24,1.4375123830387644,1.5000129214317541,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
24,24,25,1.5000129214317541,1.5625134598247439,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
25,25,26,1.5625134598247439,1.6250139982177336,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
26,26,27,1.6250139982177336,1.6875145366107234,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
27,27,28,1.6875145366107234,1.7500150750037131,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
28,28,29,1.7500150750037131,1.8125156133967029,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
29,29,30,1.8125156133967029,1.8750161517896926,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
30,30,31,1.8750161517896926,1.9375166901826824,0.0,0.0,1.0,2.2737367544323206e-13,1.1368683772161603e-13,2.5421149729252077e-13,1.0000000000590092,0.006378761574074074,0.006378761574074074,0.0,0.0,2.470154285430908,2.470154285430908,17.51388931274414,17.51388931274414,5.401234567901235e-05,5.401234567901235e-05,9.259259259259259e-05,9.259259259259259e-05,0.054328703703703705,0.054328703703703705,0.9391898148148148,0.9391898148148148,0.5102178687654945,0.0,0.5019844751200515,0.0
